Restaurant,details,rating,reviewers,Pricing,Location,,,,,rllt__wrapped
Shaw's Crab House,·  · Crab,4.6,(4.1K),$$$,"Chicago, IL",,,,,Chain known for Detroit-style pizza
The Cheesecake Factory,·  · Restaurant,4.2,(5.8K),$$,"Chicago, IL · Right by 875 North Michigan Avenue",,,,,
Wow Bao – Theater District,·  · Asian Fusion,4.0,(874),$,"Chicago, IL · In Renaissance Chicago Downtown Hotel",,,,,
Sweetwater Tavern & Grille (Michigan Plaza - Chicago),·  · American,4.3,(2.9K),$$,"Chicago, IL · In Michigan Plaza",,,,,Retro seafood restaurant & oyster bar
The Palm - Chicago,·  · Steak,4.3,(520),$$$$,"Chicago, IL",,,,,American dining chain with jumbo plates
Aba,·  · Mediterranean,4.7,(2.1K),$$$,"Chicago, IL",,,,,Fast-food baozi & other Chinese eats
Weber Grill Restaurant,·  · Restaurant,4.3,(3.2K),$$,"Chicago, IL · In The Shops at North Bridge",,,,,Upscale tavern fare & lots of beer
Hoyt's Chicago,·  · American,3.6,(150),$$,"Chicago, IL · In The Royal Sonesta Chicago Downtown",,,,,Upscale steakhouse chain founded in 1926
South Loop - Lou Malnati's Pizzeria,·  · Pizza Delivery,4.5,(7.3K),$$,"Chicago, IL · In One Place Condominiums",,,,,Trendy Mediterranean eatery & roof patio
Tzuco,· Mexican,4.5,(1.1K),,"Chicago, IL",,,,,Classy eatery with a meat-focused menu
Smith & Wollensky,·  · Steak,4.4,(2K),$$$,"Chicago, IL · In Marina City Goldberg",,,,,American comfort food in a luxury hotel
Yolk - South Loop,·  · Brunch,4.5,(3.8K),$$,"Chicago, IL · In Eleven Thirty",,,,,Deep-dish pies with a signature crust
Pinstripes,·  · Restaurant,4.4,(1.8K),$$,"Chicago, IL · In River East Plaza",,,,,Chef-driven Mexican fine dining option
Dolo Restaurant and Bar,·  · Chinese,4.2,(851),$$,"Chicago, IL",,,,,High-end steakhouse with dry-aged steaks
Portillo's Hot Dogs,·  · Fast Food,4.4,(18K),$,"Chicago, IL",,,,,Cheery spot with breakfast & sandwiches
Nando's PERi-PERi,·  · Chicken,4.3,(1.9K),$$,"Chicago, IL · In Millennium Park Plaza",,,,,"Bowling, bocce & Italian-American fare"
Wildberry Pancakes and Cafe,·  · Pancake,4.6,(2.7K),$$,"Chicago, IL · In the Water Tower Place",,,,,Elevated Chinese dining & drinks spot
Sono Wood Fired Chicago,·  · Pizza,4.3,(146),$$,"Chicago, IL · In Sociale Chicago",,,,,Retro chain for Chicago-style dogs
SafeHouse Chicago,·  · Restaurant,4.2,(1.5K),$$,"Chicago, IL",,,,,Afro-Portuguese grilled chicken chain
Columbus Tap,·  · Restaurant,3.9,(296),$$,"Chicago, IL · In Fairmont Chicago Millennium Park",,,,,American eats for breakfast & lunch
Nepal House,· Indian,4.2,(973),,"Chicago, IL",,,,,Cozy wine bar with pizza & Italian fare
Rosati's Pizza- Chicago Grant Park,·  · Pizza,3.7,(225),$$,"Chicago, IL · Near the Art Institute of Chicago",,,,,Spy-themed club with dining & dancing
,,,,,,,,,,Stylish gastropub in an upscale hotel
,,,,,,,,,,Traditional Nepalese & Indian dishes
